x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,y
34,15,17,25,14,30,22,10,19,16,18,21,11,20,13,4,5,2,12,23,24,8,6,3,28,26,1,29,32,7,35,33,27,31,9,311986.5999999999
34,15,17,25,14,30,22,10,19,16,18,21,11,20,13,4,5,3,12,23,24,8,6,2,28,26,1,29,32,7,35,33,27,31,9,302305.49999999994
34,15,17,25,14,30,22,10,19,16,18,21,11,20,13,4,5,3,12,23,24,1,6,2,28,26,8,29,32,7,35,33,27,31,9,229786.80000000002
7,15,17,25,14,30,22,10,19,16,18,21,11,20,13,4,5,3,12,23,24,1,6,2,28,26,8,29,32,34,35,33,27,31,9,223373.39999999997
7,15,17,25,14,27,22,10,19,16,18,21,11,20,13,4,5,3,12,23,24,1,6,2,28,26,8,29,32,34,35,33,30,31,9,218419.29999999996
7,15,17,25,14,27,22,10,19,16,18,21,11,20,23,4,5,3,12,13,24,1,6,2,28,26,8,29,32,34,35,33,30,31,9,215186.39999999997
7,15,17,25,14,27,22,10,19,16,18,21,11,20,23,4,5,3,12,13,24,1,6,2,28,26,8,29,32,34,31,33,30,35,9,213115.69999999995
7,15,17,25,14,11,22,10,19,16,18,21,27,20,23,4,5,3,12,13,24,1,6,2,28,26,8,29,32,34,31,33,30,35,9,212065.89999999997
7,15,17,25,19,11,22,10,14,16,18,21,27,20,23,4,5,3,12,13,24,1,6,2,28,26,8,29,32,34,31,33,30,35,9,210513.29999999996
7,15,17,25,19,11,21,10,14,16,18,22,27,20,23,4,5,3,12,13,24,1,6,2,28,26,8,29,32,34,31,33,30,35,9,209797.49999999997
7,15,17,25,19,11,21,10,14,16,18,22,27,20,23,4,5,24,12,13,3,1,6,2,28,26,8,29,32,34,31,33,30,35,9,208452.8
7,15,17,25,19,11,21,10,14,28,18,22,27,20,23,4,5,24,12,13,3,1,6,2,16,26,8,29,32,34,31,33,30,35,9,207143.09999999998
7,15,17,25,19,11,21,10,14,28,18,22,27,20,23,4,13,24,12,5,3,1,6,2,16,26,8,29,32,34,31,33,30,35,9,205721.39999999997
4,15,17,25,19,11,21,10,14,28,18,22,27,20,23,7,13,24,12,5,3,1,6,2,16,26,8,29,32,34,31,33,30,35,9,204088.8999999999
16,15,17,25,19,11,21,10,14,28,18,22,27,20,23,7,13,24,12,5,3,1,6,2,4,26,8,29,32,34,31,33,30,35,9,143818.49999999997
16,15,17,25,19,11,21,10,14,28,8,22,27,20,23,7,13,24,12,5,3,1,6,2,4,26,18,29,32,34,31,33,30,35,9,142056.69999999995
16,15,17,25,19,11,21,10,14,28,8,22,27,20,23,7,13,24,4,5,3,1,6,2,12,26,18,29,32,34,31,33,30,35,9,140411.19999999998
16,15,17,25,19,11,21,10,14,28,8,22,27,20,23,24,13,7,4,5,3,1,6,2,12,26,18,29,32,34,31,33,30,35,9,139731.69999999998
16,15,17,25,19,11,21,10,28,14,8,22,27,20,23,24,13,7,4,5,3,1,6,2,12,26,18,29,32,34,31,33,30,35,9,139443.3
16,15,17,25,19,11,21,10,28,14,8,22,27,20,23,24,13,7,4,5,3,1,6,2,12,26,18,29,33,34,31,32,30,35,9,138819.09999999998
16,15,17,25,19,11,21,10,28,14,8,22,27,20,23,24,13,7,4,5,3,1,6,2,12,26,18,33,29,34,31,32,30,35,9,137810.0
16,15,17,25,19,11,21,10,28,14,8,22,7,20,23,24,13,27,4,5,3,1,6,2,12,26,18,33,29,34,31,32,30,35,9,136936.8
16,15,13,25,19,11,21,10,28,14,8,22,7,20,23,24,17,27,4,5,3,1,6,2,12,26,18,33,29,34,31,32,30,35,9,136581.2
16,15,13,25,19,11,21,10,28,14,8,22,7,20,23,24,17,27,4,5,3,1,6,2,12,26,18,33,29,31,34,32,30,35,9,135732.30000000002
16,15,13,25,19,11,21,10,28,14,8,22,7,20,23,24,17,27,4,5,3,1,6,2,12,26,18,33,29,31,34,32,30,35,9,135732.30000000002
16,15,13,25,19,21,11,10,28,14,8,22,7,20,23,24,17,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135732.3
16,15,13,25,19,21,11,10,28,14,8,22,7,20,23,24,17,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135732.3
16,15,13,25,19,10,11,21,28,14,8,22,7,20,23,17,24,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135732.19999999998
16,15,13,19,25,10,11,21,28,14,8,22,7,20,23,17,24,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135607.1
16,15,13,19,25,10,11,21,28,14,8,22,7,20,23,17,24,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135607.1
16,15,13,19,25,10,11,21,28,14,8,22,7,20,23,17,24,27,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135607.1
15,27,13,19,25,10,11,21,28,14,8,22,7,20,16,17,24,23,4,5,3,2,6,1,12,26,18,33,29,31,34,32,30,35,9,135480.1
15,27,13,19,25,10,11,21,28,14,8,22,7,20,16,17,24,23,4,5,3,6,2,1,12,26,18,33,29,31,34,32,30,35,9,135480.0
15,27,13,19,25,10,11,21,28,14,8,22,7,20,16,17,24,23,4,5,3,6,2,1,12,26,18,33,29,31,34,32,30,35,9,135480.0
15,27,13,19,25,10,11,21,28,14,8,22,7,20,16,17,24,23,4,5,3,6,2,1,12,26,18,33,29,31,34,32,30,35,9,135480.0
15,27,13,19,25,10,11,21,28,14,8,22,7,20,16,17,24,23,4,5,3,6,2,1,12,26,18,33,29,31,34,32,30,35,9,135480.0
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
15,27,13,19,25,10,11,21,28,14,22,8,7,20,16,17,24,23,4,5,1,6,2,3,12,26,18,33,29,31,34,32,30,35,9,135447.80000000002
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
